Source,CH1,CH2
Second,Volt,Volt
-0.00007237999,0.20000,-0.20000,
-0.00007236000,0.20000,-0.20000,
-0.00007234000,0.00,-0.24000,
-0.00007232000,0.00,-0.20000,
-0.00007230000,0.00,-0.20000,
-0.00007227999,0.20000,-0.20000,
-0.00007226000,0.00,-0.20000,
-0.00007224000,0.00,-0.20000,
-0.00007222000,0.00,-0.16000,
-0.00007219999,0.00,-0.20000,
-0.00007218000,0.20000,-0.16000,
-0.00007216000,0.20000,-0.16000,
-0.00007214000,0.00,-0.20000,
-0.00007212000,0.00,-0.24000,
-0.00007209999,0.00,-0.20000,
-0.00007208000,0.00,-0.20000,
-0.00007206000,0.00,-0.20000,
-0.00007204000,0.00,-0.20000,
-0.00007202000,0.00,-0.20000,
-0.00007200000,0.00,-0.16000,
-0.00007198000,0.00,-0.20000,
-0.00007196000,0.00,-0.20000,
-0.00007194000,0.20000,-0.20000,
-0.00007191999,0.00,-0.20000,
-0.00007190000,0.00,-0.20000,
-0.00007188000,0.20000,-0.20000,
-0.00007186000,0.00,-0.20000,
-0.00007184000,0.00,-0.20000,
-0.00007182000,0.00,-0.16000,
-0.00007180000,0.00,-0.16000,
-0.00007178000,0.20000,-0.20000,
-0.00007176000,0.00,-0.16000,
-0.00007173999,0.20000,-0.16000,
-0.00007172000,0.00,-0.20000,
-0.00007170000,0.00,-0.20000,
-0.00007168000,0.20000,-0.20000,
-0.00007166000,0.00,-0.20000,
-0.00007164000,0.00,-0.20000,
-0.00007162000,0.00,-0.20000,
-0.00007160000,0.00,-0.20000,
-0.00007158000,0.00,-0.20000,
-0.00007155999,0.00,-0.20000,
-0.00007154000,0.20000,-0.16000,
-0.00007152000,0.20000,-0.20000,
-0.00007150000,0.00,-0.20000,
-0.00007148000,0.00,-0.24000,
-0.00007146000,0.00,-0.20000,
-0.00007144000,0.00,-0.24000,
-0.00007142000,0.00,-0.20000,
-0.00007140000,0.20000,-0.20000,
-0.00007137999,0.00,-0.20000,
-0.00007136000,0.00,-0.16000,
-0.00007134000,0.20000,-0.20000,
-0.00007132000,0.20000,-0.20000,
-0.00007130000,0.00,-0.20000,
-0.00007128000,0.00,-0.20000,
-0.00007126000,0.00,-0.20000,
-0.00007124000,0.00,-0.20000,
-0.00007122000,0.20000,-0.20000,
-0.00007119999,0.00,-0.20000,
-0.00007118000,0.00,-0.20000,
-0.00007116000,0.00,-0.16000,
-0.00007114000,0.00,-0.20000,
-0.00007112000,0.00,-0.24000,
-0.00007110000,0.00,-0.20000,
-0.00007108000,0.00,-0.20000,
-0.00007106000,0.20000,-0.20000,
-0.00007104000,0.00,-0.20000,
-0.00007101999,0.00,-0.20000,
-0.00007100000,0.00,-0.20000,
-0.00007098000,0.00,-0.20000,
-0.00007096000,0.20000,-0.20000,
-0.00007094000,0.00,-0.20000,
-0.00007092000,0.00,-0.20000,
-0.00007090000,0.00,-0.20000,
-0.00007088000,0.00,-0.20000,
-0.00007086000,0.00,-0.20000,
-0.00007083999,0.20000,-0.20000,
-0.00007082000,0.00,-0.24000,
-0.00007080000,0.00,-0.16000,
-0.00007078000,0.20000,-0.20000,
-0.00007076000,0.20000,-0.20000,
-0.00007074001,0.00,-0.20000,
-0.00007072000,0.20000,-0.24000,
-0.00007070000,0.20000,-0.20000,
-0.00007068000,0.20000,-0.20000,
-0.00007065999,0.00,-0.20000,
-0.00007064000,0.20000,-0.24000,
-0.00007062000,0.00,-0.20000,
-0.00007060000,0.20000,-0.20000,
